recipe_name,time_preparation(min),calories(kcal),ingredients_list,gluten_free,egg_free,sucrose_fructose_free,low_sodium,lactose_free,recipe_url,recipe_image_url
Ensalada niçoise,60.0,252.0,"['patatas pequeñas rojas', 'huevos', 'judías verdes', 'tomates maduros', 'atún en conserva', 'espinacas baby', 'cebolla morada', 'perejil fresco picado', 'aceite de oliva virgen extra', 'limón el zumo', 'pimienta', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/ensalada-nicoise_8575.html,https://content-recetas.lecturas.com/medio/2019/12/16/ensalada_nicoise_y_ensalada_del_perigord_c0d6d2e1_800x800.jpg
Ensalada del périgord,25.0,386.0,"['foie micuit', 'beicon gruesas', 'champiñones', 'berros', 'rúcula', 'tomates secos en aceite', 'piñones', 'jamón de pato', 'aceite de oliva']",0,0,0,0,0,https://www.lecturas.com/recetas/ensalada-perigord_8576.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_nicoise_y_ensalada_del_perigord_8e285865_800x800.jpg
Xató con salsa romesco,35.0,,"['bacalao desalado', 'cebolleta', 'escarolas', 'aceitunas negras', 'anchoas en aceite', 'tomates maduros', 'cabeza de ajos', 'ñoras', 'pan seco', 'almendras peladas tostadas', 'avellanas peladas y tostadas', 'pimentón', 'sal', 'aceite de oliva', 'vinagre de vino blanco', 'guindillas']",0,0,0,0,0,https://www.lecturas.com/recetas/xato-salsa-romesco_8577.html,https://content-recetas.lecturas.com/medio/2020/03/05/xato_con_salsa_romesco_y_salpicon_de_marisco_d6b2df39_800x800.jpg
Ensalada de ceviche de langostinos y cebolla,25.0,176.0,"['langostinos', 'pimienta', 'limas', 'tomates', 'cebolla morada', 'limones', 'guindilla', 'aguacate', 'cilantro', 'sal', 'lechugas brotes', 'germinados de remolacha']",0,0,0,0,0,https://www.lecturas.com/recetas/ensalada-ceviche-langostinos-y-cebolla_8447.html,https://content-recetas.lecturas.com/medio/2019/07/25/ensalada_de_ceviche_de_langostinos_y_cebolla_y_ensalada_de_pollo_remolacha_y_manzana_ca9d87d5_800x800.jpg
"Ensalada de pollo, remolacha y manzana",40.0,203.0,"['pechugas de pollo', 'manzanas ácida', 'col lombarda', 'zanahorias', 'granada', 'remolacha', 'nueces peladas', 'pan rallado grueso', 'pimentón dulce', 'huevo', 'comino', 'semillas de sésamo negro', 'lechugas', 'aceite de oliva', 'sal', 'pimienta']",0,0,0,0,0,https://www.lecturas.com/recetas/ensalada-pollo-remolacha-y-manzana_8448.html,https://content-recetas.lecturas.com/medio/2019/08/26/ensalada_de_ceviche_de_langostinos_y_cebolla_y_ensalada_de_pollo_remolacha_y_manzana_bf72acd4_800x800.jpg
"Ensalada de jamón, espinacas y roquefort",15.0,183.0,"['jamón de parma', 'espinacas baby', 'queso roquefort', 'beicon gruesa', 'cebolla morada pequeña', 'nueces pecanas peladas', 'uvas pasas de corinto', 'mostaza a la antigua', 'miel', 'aceite de oliva virgen extra', 'sal', 'vinagre de vino blanco', 'pimienta']",0,0,0,0,0,https://www.lecturas.com/recetas/ensalada-jamon-espinacas-y-roquefort_8449.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_de_jamon_espinacas_y_roquefort_y_ensalada_de_sardinas_marinadas_y_guacamole_c3e4ef4d_800x800.jpg
Ensalada de sardinas marinadas y guacamole,30.0,196.0,"['losmos de sardina', 'limón', 'lima', 'guindilla picada', 'perejil', 'lechugas', 'zanahoria', 'pan finas', 'aceite de oliva', 'sal', 'aguacate', 'cebollas picada', 'lima el zumo', 'tomates picado', 'pimienta', 'cilantro picado', 'pimiento jalapeño picado', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/ensalada-sardinas-marinadas-y-guacamole_8450.html,https://content-recetas.lecturas.com/medio/2019/09/06/ensalada_de_jamon_espinacas_y_roquefort_y_ensalada_de_sardinas_marinadas_y_guacamole_109b9466_800x800.jpg
"Ensalada de tomates, mozzarella y rúcula",20.0,172.0,"['tomates variados', 'queso mozzarella de búfala', 'rúcula', 'rábanos', 'aceitunas negras kalamata', 'pan de pipas', 'albahaca fresca', 'dientes de ajo', 'aceite de oliva', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/ensalada-tomates-mozzarella-y-rucula_8451.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_de_tomates_mozzarella_y_rucula_y_ensalada_de_salmon_aguacate_y_huevo_duro_b4ce8dff_800x800.jpg
"Ensalada de salmón, aguacate y huevo duro",50.0,186.0,"['tomates cereza', 'tomates', 'sal', 'huevos duros', 'aguacate', 'cebolla', 'berros', 'aceite de oliva', 'pimienta', 'lomo de salmón entero', 'azúcar', 'sal', 'pimienta rosa en grano', 'eneldo picadas', 'aceite de oliva', 'sal', 'zumo de lima', 'pimienta']",0,0,0,0,0,https://www.lecturas.com/recetas/ensalada-salmon-aguacate-y-huevo-duro_8452.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_de_tomates_mozzarella_y_rucula_y_ensalada_de_salmon_aguacate_y_huevo_duro_97e392ac_800x800.jpg
Ensaladilla rusa con langostinos,55.0,240.0,"['langostinos', 'palitos de surimi', 'patatas', 'judías verdes', 'zanahorias', 'guisantes congelados', 'huevos', 'aceitunas verdes deshuesadas', 'zumo de limón', 'aceite', 'sal', 'cebollino']",0,0,0,0,0,https://www.lecturas.com/recetas/ensaladilla-rusa-langostinos_8455.html,https://content-recetas.lecturas.com/medio/2019/07/17/paso_a_paso_para_realizar_ensaladilla_rusa_con_langostinos_resultado_final_ccde7ef5_800x800.jpg
Ensalada con carpaccio de hinojo y quinoa negra,40.0,,"['lechugas', 'hinojo grande', 'quinoa negra', 'almendras laminada', 'levadura nutricional', 'semillas de cáñamo', 'vinagre de manzana', 'aceite de oliva virgen extra', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/ensalada-carpaccio-hinojo-y-quinoa-negra_8468.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_con_carpaccio_de_hinojo_y_quinoa_negra_9488618c_800x800.jpg
