recipe_image_url,recipe_name,recipe_url,ingredients_list,time_preparation(min),calories(kcal),gluten_free,egg_free,sucrose_fructose_free,low_sodium,lactose_free,tipo_plato,main_category,category,num_ingredients,input,matched_ingred,num_matched,num_missing_ingred,recipe_rate
https://content-recetas.lecturas.com/medio/2018/07/19/cake-de-tortilla-con-crujiente-de-beicon_e4d98257_800x800.jpg,Cake de tortilla con crujiente de beicon,https://www.lecturas.com/recetas/cake-tortilla-crujiente-beicon_4286.html,"['patatas', 'berros']",65.0,377.0,0,0,0,0,0,"['Primeros platos y entrantes', 'Segundos platos y platos principales']",principal,huevos y tortillas,9,"['huevos', 'azucar', 'leche', 'arroz', 'jamón', 'guisantes', 'aceite', 'sal', 'garbanzos', 'atún en conserva', 'queso', 'cebolla']","['huevos', 'jamón cocido', 'aceite de oliva', 'sal', 'beicon en lonchas finas', 'queso havarti', 'cebolla']",7,2,2.5
https://content-recetas.lecturas.com/medio/2018/07/19/tortilla-con-verduras-y-queso_f570fb0a_800x800.jpg,"Tortilla de calabacín rellena de queso, jamón y pimiento asado",https://www.lecturas.com/recetas/tortilla-verduras-y-queso_3982.html,"['calabacín medianos', 'pimiento rojo asados']",45.0,390.0,0,0,0,0,0,"['Plato único', 'Segundos platos y platos principales']",principal,huevos y tortillas,8,"['huevos', 'azucar', 'leche', 'arroz', 'jamón', 'guisantes', 'aceite', 'sal', 'garbanzos', 'atún en conserva', 'queso', 'cebolla']","['huevo', 'jamón cocido', 'aceite de oliva', 'sal', 'queso tierno', 'cebolla grande']",6,2,2.0
https://content-recetas.lecturas.com/medio/2018/07/19/rollo-de-tortilla-con-jamon-queso-y-pimientos_4e7724fa_800x800.jpg,"Rollo de tortilla con jamón, queso y pimientos",https://www.lecturas.com/recetas/rollo-tortilla-jamon-queso-y-pimientos_4282.html,"['patatas', 'pimientos del piquillo']",45.0,278.0,0,0,0,0,0,"['Primeros platos y entrantes', 'Segundos platos y platos principales']",principal,huevos y tortillas,8,"['huevos', 'azucar', 'leche', 'arroz', 'jamón', 'guisantes', 'aceite', 'sal', 'garbanzos', 'atún en conserva', 'queso', 'cebolla']","['huevos', 'jamón cocido', 'aceite de oliva', 'sal', 'queso havarti', 'cebolla']",6,2,2.0
https://content-recetas.lecturas.com/medio/2018/07/19/patatas-rellenas-con-jamon-y-queso_96cec9c1_800x800.jpg,Patatas rellenas con jamón y queso,https://www.lecturas.com/recetas/patatas-rellenas-jamon-y-queso_3655.html,"['patata asadas', 'pimienta']",25.0,,1,0,0,0,0,['Primeros platos y entrantes'],principal,verduras,7,"['huevos', 'azucar', 'leche', 'arroz', 'jamón', 'guisantes', 'aceite', 'sal', 'garbanzos', 'atún en conserva', 'queso', 'cebolla']","['huevo', 'jamón cocido cortado en daditos', 'aceite', 'sal', 'queso cheddar rallado']",5,2,1.5
https://content-recetas.lecturas.com/medio/2018/07/19/garbanzos-con-espinacas-y-bacalao_788276a1_800x800.jpg,Ensalada de garbanzos con espinacas y bacalao,https://www.lecturas.com/recetas/garbanzos-espinacas-y-bacalao_3571.html,"['espinacas baby', 'pimienta roja']",20.0,272.0,1,0,0,0,0,['Primeros platos y entrantes'],principal,legumbres,7,"['huevos', 'azucar', 'leche', 'arroz', 'jamón', 'guisantes', 'aceite', 'sal', 'garbanzos', 'atún en conserva', 'queso', 'cebolla']","['huevos de codorniz', 'aceite', 'sal', 'garbanzos cocidos', 'bacalao desalado cortado en tiras']",5,2,1.5
https://content-recetas.lecturas.com/medio/2018/07/19/bocadillo-entre-tortillas_0fbc0c74_800x800.jpg,Bocadillo entre tortillas,https://www.lecturas.com/recetas/bocadillo-entre-tortillas_4176.html,"['canónigos', 'pimienta']",25.0,339.0,0,0,0,0,0,['Segundos platos y platos principales'],principal,huevos y tortillas,7,"['huevos', 'azucar', 'leche', 'arroz', 'jamón', 'guisantes', 'aceite', 'sal', 'garbanzos', 'atún en conserva', 'queso', 'cebolla']","['huevo', 'jamón serrano', 'aceite', 'sal', 'queso havarti']",5,2,1.5
https://content-recetas.lecturas.com/medio/2018/11/23/paso_a_paso_para_realizar_salteado_de_acelgas_y_garbanzos_en_conserva_resultado_final_0cf2a62a_800x800.jpg,Salteado de acelgas y garbanzos en conserva,https://www.lecturas.com/recetas/salteado-acelgas-y-garbanzos-conserva_6247.html,"['dientes de ajo', 'piñones pelados', 'pimienta']",25.0,189.0,0,0,0,0,0,['Primeros platos y entrantes'],principal,legumbres,9,"['huevos', 'azucar', 'leche', 'arroz', 'jamón', 'guisantes', 'aceite', 'sal', 'garbanzos', 'atún en conserva', 'queso', 'cebolla']","['jamón ibérico en tacos', 'aceite de oliva virgen', 'sal', 'garbanzos cocidos', 'acelgas en conserva', 'cebolla grande']",6,3,1.5
https://content-recetas.lecturas.com/medio/2018/07/19/torta-dorada-de-arroz-con-cebolla_3b21c5e6_800x800.jpg,Torta dorada de arroz con cebolla,https://www.lecturas.com/recetas/torta-dorada-arroz-cebolla_867.html,"['pimentón dulce', 'caldo de verduras o de pollo o carne', 'pimienta negra']",30.0,365.0,1,0,0,0,0,['Primeros platos y entrantes'],principal,arroces y cereales,9,"['huevos', 'azucar', 'leche', 'arroz', 'jamón', 'guisantes', 'aceite', 'sal', 'garbanzos', 'atún en conserva', 'queso', 'cebolla']","['huevo', 'arroz', 'aceite de oliva', 'sal', 'queso rallado', 'cebolla pequeña']",6,3,1.5
https://content-recetas.lecturas.com/medio/2018/07/19/paso-a-paso-para-hacer-huevos-al-plato-tradicionales-resultado-final_747c2e7c_800x800.jpg,Huevos al plato tradicionales,https://www.lecturas.com/recetas/huevos-plato-tradicionales_2440.html,"['tomate maduros', 'pimiento rojo', 'pimienta']",30.0,,1,0,0,0,1,"['Segundos platos y platos principales', 'Plato único']",principal,huevos y tortillas,9,"['huevos', 'azucar', 'leche', 'arroz', 'jamón', 'guisantes', 'aceite', 'sal', 'garbanzos', 'atún en conserva', 'queso', 'cebolla']","['huevo', 'jamón serrano en taquitos', 'guisantes congelados', 'aceite de oliva', 'sal', 'cebolla']",6,3,1.5
https://content-recetas.lecturas.com/medio/2018/07/19/risotto-verde-con-espinacas_7d517405_800x800.jpg,Risotto verde con espinacas,https://www.lecturas.com/recetas/risotto-verde-espinacas_66.html,"['caldo de verduras', 'espinacas', 'vino blanco', 'pimienta negra molida']",30.0,295.0,0,0,0,0,0,['Primeros platos y entrantes'],principal,arroces y cereales,11,"['huevos', 'azucar', 'leche', 'arroz', 'jamón', 'guisantes', 'aceite', 'sal', 'garbanzos', 'atún en conserva', 'queso', 'cebolla']","['arroz', 'jamón cocido', 'aceite de oliva', 'sal', 'queso parmesano en escamas', 'queso rallado', 'cebolla']",7,4,1.5
